,correlation0,contrast0,homogeneity0,energy0,label
0,0.622096339682944,648.710227272727,0.058748563651341,0.056247130321657,KelasB
1,0.53518210772992,748,0.06822332354947,0.056247130321657,KelasB
2,0.687199051642626,328.318181818182,0.081298186539839,0.058773184277208,KelasB
3,0.439688732106886,1010.85795454545,0.051750398671767,0.056818181818182,KelasB
4,0.434425080806539,770.511363636364,0.062958698706178,0.057101566029096,KelasB
5,0.452431131996981,999.011363636364,0.035187191779644,0.05449808549219,KelasB
6,0.369182554360578,1017.21022727273,0.033007205297601,0.055233585497794,KelasB
7,0.414734333963956,1053.60795454545,0.074706076273259,0.056960050158419,KelasB
8,0.469381514710479,662.221590909091,0.067717178590015,0.056533377108331,KelasB
9,0.611038441793626,344.590909090909,0.075470198150918,0.05567022142689,KelasB
10,0.754619526557304,315.375,0.0797641515005,0.057943403563554,KelasA
11,0.748416430967485,307.159090909091,0.099506839450074,0.056960050158419,KelasA
12,0.626398289056451,375.619318181818,0.082644893964149,0.05835976870504,KelasA
13,0.764288768839036,276.869318181818,0.059254174850064,0.05567022142689,KelasA
14,0.663524249058386,355.931818181818,0.079762615990892,0.059183712090908,KelasA
15,0.742123458331882,277.318181818182,0.079793005656965,0.058497898528335,KelasA
16,0.712548953060183,336.119318181818,0.078247023042667,0.057803948719818,KelasA
17,0.756158239665106,299.164772727273,0.060962388783748,0.056390435344543,KelasA
18,0.682465462274176,322.568181818182,0.082740330624351,0.056675958361534,KelasA
19,0.753622544879638,294.573863636364,0.063729538853995,0.055087271107004,KelasA
20,0.028407202402232,927.596590909091,0.036153690367817,0.056675958361534,KelasSuper
21,0.013636687500597,1040.42045454545,0.037902485469003,0.055959419328387,KelasSuper
22,0.007343603905117,1002.44886363636,0.057134880087806,0.057242732044346,KelasSuper
23,-0.001888713259554,1006.70454545455,0.056515129102422,0.056818181818182,KelasSuper
24,-0.014446906310646,1086.09090909091,0.048766015254502,0.056960050158419,KelasSuper
25,0.221723736251717,488.840909090909,0.058034126445714,0.054349791107128,KelasSuper
26,0.01849071197403,1149.52272727273,0.035241355744399,0.056533377108331,KelasSuper
27,0.024956443950712,1128.75568181818,0.041594323718058,0.055670221426891,KelasSuper
28,0.200738217250451,546.8125,0.042016464880157,0.056390435344543,KelasSuper
29,0.01743910631341,971.193181818182,0.051053288671189,0.056675958361534,KelasSuper
